class,mathA,mathB
201,,   82.0
201,,   96.0
201,,   93.0
201,,   92.0
201,, 12.0
201,,   52.0
201,,   86.0
201,,   70.0
201,,   95.0
201,,   83.0
201,,   83.0
201,,   87.0
201,,   46.0
201,,   90.0
201,,   85.0
201,,   65.0
201,,   79.0
201,,   89.0
201,,   80.0
201,,   89.0
201,,   94.0
201,,   89.0
201,,   68.0
201,,   92.0
201,,   87.0
201,,   79.0
201,,   75.0
201,,   78.0
201,,   67.0
201,,   92.0
201,,   71.0
201,,   79.0
201,,   89.0
201,,   79.0
201,,   83.0
201,,   88.0
201,,   74.0
201,,   74.0
202,,   81.0
202,,   64.0
202,,   91.0
202,,   71.0
202,,   75.0
202,,   83.0
202,, 53.0
202,,   84.0
202,,   92.0
202,,   96.0
202,, 30.0
202,,   86.0
202,,   74.0
202,,   74.0
202,,   67.0
202,,   83.0
202,,   82.0
202,,   77.0
202,,   86.0
202,, 46.0
202,,   82.0
202,,   83.0
202,,   75.0
202,,   76.0
202,,   90.0
202,, 42.0
202,,   74.0
202,,   52.0
202,,   91.0
202,,   69.0
202,, 52.0
202,,   91.0
202,,   71.0
202,,   69.0
202,,   61.0
202,,   69.0
202,,   72.0
202,,   82.0
202,,   71.0
202,,   86.0
202,,   71.0
203, 40.0,
203, 25.0,
203, 30.0,
203, 20.0,
203, 30.0,
203,,   81.0
203,,   89.0
203, 45.0,
203, 40.0,
203,,   84.0
203, 35.0,
203, 40.0,
203, 20.0,
203,,   65.0
203,,   74.0
203, 30.0,
203,,   88.0
203,,   74.0
203,,   79.0
203,,   84.0
203,,   75.0
203,,   85.0
203,,   64.0
203,,   94.0
203,,   82.0
203,,   98.0
203,,   85.0
203,,   92.0
203,,   87.0
203,,   79.0
203,, 44.0
203, 35.0,
203,,   78.0
203,,   82.0
203,,   70.0
203, 10.0,
203,,   81.0
203,,   77.0
203,,   89.0
203,,   86.0
203,,   74.0
204, 20.0,
204, 35.0,
204, 35.0,
204, 30.0,
204, 35.0,
204, 55.0,
204, 15.0,
204, 35.0,
204, 40.0,
204, 20.0,
204, 40.0,
204, 30.0,
204, 50.0,
204, 30.0,
204, 40.0,
204, 50.0,
204, 35.0,
204, 55.0,
204, 25.0,
204, 35.0,
204, 50.0,
204, 50.0,
204, 35.0,
204, 30.0,
204, 10.0,
204, 40.0,
204,   70.0,
204, 25.0,
204, 45.0,
204, 50.0,
204,   60.0,
204, 50.0,
204,   60.0,
204, 15.0,
204, 35.0,
204, 45.0,
204, 55.0,
204, 35.0,
204, 20.0,
204, 45.0,
204, 35.0,
204, 15.0,
204,   60.0,
205, 40.0,
205, 20.0,
205, 30.0,
205, 15.0,
205, 35.0,
205,   60.0,
205, 45.0,
205, 50.0,
205, 30.0,
205,   60.0,
205, 55.0,
205, 15.0,
205, 45.0,
205, 50.0,
205,   60.0,
205, 50.0,
205, 55.0,
205, 30.0,
205, 50.0,
205, 40.0,
205, 50.0,
205, 45.0,
205, 30.0,
205,   60.0,
205, 25.0,
205,   60.0,
205, 40.0,
205, 25.0,
205, 15.0,
205, 30.0,
205, 35.0,
205, 50.0,
205,   60.0,
205, 30.0,
205, 30.0,
205, 15.0,
205,   65.0,
205, 30.0,
205, 15.0,
205, 40.0,
205, 30.0,
205, 50.0,
205,   80.0,
206, 50.0,
206, 10.0,
206, 40.0,
206,   80.0,
206, 20.0,
206,,   75.0
206,   60.0,
206,   75.0,
206, 30.0,
206, 40.0,
206,   65.0,
206,,   91.0
206, 50.0,
206,   75.0,
206, 55.0,
206, 45.0,
206, 25.0,
206, 40.0,
206,,   79.0
206, 50.0,
206,   60.0,
206,,   85.0
206, 50.0,
206, 25.0,
206,   60.0,
206, 30.0,
206,,   81.0
206, 20.0,
206,   75.0,
206,,   80.0
206,,   72.0
206,,   89.0
206,   80.0,
207,,   78.0
207, 45.0,
207, 50.0,
207,,   90.0
207,,   76.0
207,,   91.0
207,,   85.0
207,,   81.0
207, 25.0,
207,,   79.0
207,, 54.0
207,,   78.0
207,,   81.0
207,,   83.0
207,,   79.0
207,,   81.0
207,,   96.0
207,,   77.0
207,,   94.0
207,,   84.0
207,,   94.0
207,,   76.0
207, 55.0,
207, 50.0,
207,,   71.0
207,,   84.0
207,,   67.0
207, 45.0,
207,,   71.0
207,,   67.0
207,,   69.0
207,,   87.0
207, 35.0,
207,,   74.0
207,,   90.0
207,,   88.0
207, 40.0,
207, 35.0,
207,, 58.0
208, 40.0,
208, 45.0,
208, 55.0,
208, 35.0,
208,   80.0,
208,   70.0,
208,   75.0,
208,   65.0,
208, 50.0,
208, 55.0,
208, 10.0,
208, 50.0,
208, 50.0,
208, 25.0,
208, 30.0,
208,   60.0,
208, 45.0,
208, 45.0,
208,   70.0,
208, 55.0,
208, 45.0,
208,   65.0,
208, 50.0,
208,   60.0,
208, 55.0,
208,   55.0,
208,   60.0,
208, 30.0,
208,   65.0,
208, 50.0,
208, 40.0,
208, 55.0,
208, 55.0,
208,   70.0,
208, 40.0,
208, 45.0,
208,   70.0,
208,   75.0,
208,   65.0,
209, 55.0,
209, 10.0,
209, 55.0,
209,   55.0,
209,   65.0,
209, 35.0,
209, 50.0,
209,   75.0,
209, 25.0,
209,   70.0,
209,   60.0,
209, 55.0,
209, 50.0,
209, 45.0,
209, 55.0,
209,   60.0,
209,   75.0,
209,   65.0,
209, 40.0,
209,   70.0,
209, 35.0,
209,   80.0,
209,   65.0,
209, 55.0,
209, 50.0,
209, 55.0,
209, 40.0,
209, 50.0,
209, 35.0,
209,   65.0,
209, 30.0,
209, 50.0,
209, 40.0,
209,   60.0,
209, 50.0,
209, 55.0,
209,   70.0,
209, 40.0,
210, 45.0,
210,   85.0,
210, 25.0,
210, 45.0,
210, 50.0,
210, 40.0,
210,   70.0,
210,   85.0,
210, 55.0,
210,   60.0,
210, 25.0,
210, 35.0,
210,   80.0,
210,   65.0,
210, 55.0,
210,   60.0,
210, 55.0,
210, 35.0,
210,   60.0,
210, 30.0,
210, 55.0,
210, 20.0,
210,   75.0,
210, 10.0,
210,   60.0,
210,   75.0,
210, 35.0,
210,   75.0,
210,   85.0,
210, 45.0,
210, 35.0,
210, 50.0,
210, 45.0,
210, 50.0,
210,   70.0,
210, 50.0,
210,   65.0,
211, 40.0,
211, 35.0,
211, 10.0,
211, 55.0,
211, 10.0,
211,   70.0,
211, 45.0,
211, 45.0,
211, 30.0,
211,   70.0,
211, 45.0,
211, 25.0,
211,   60.0,
211, 20.0,
211,   65.0,
211, 50.0,
211,   70.0,
211, 20.0,
211, 50.0,
211, 50.0,
211,   80.0,
211,   60.0,
211,   70.0,
211,   75.0,
211, 45.0,
211,   70.0,
211, 45.0,
211, 35.0,
211, 45.0,
211, 30.0,
211, 40.0,
211,   65.0,
211, 35.0,
211, 30.0,
211, 35.0,
211, 50.0,
211,   70.0,
211, 45.0,
212,   60.0,
212,   75.0,
212,   95.0,
212, 55.0,
212,   70.0,
212, 55.0,
212, 30.0,
212,   85.0,
212,   80.0,
212,   90.0,
212,   60.0,
212,   80.0,
212,   70.0,
212,   60.0,
212,   75.0,
212,   65.0,
212, 45.0,
212, 50.0,
212,   90.0,
212,   70.0,
212,   95.0,
212,   70.0,
212,   65.0,
212, 55.0,
212, 55.0,
212,   70.0,
212,   85.0,
212,   90.0,
212,   70.0,
212,   60.0,
212, 40.0,
212, 55.0,
212,   65.0,
212,   60.0,
212, 40.0,
212,   60.0,
213,   65.0,
213,   65.0,
213,   65.0,
213, 40.0,
213, 25.0,
213, 50.0,
213, 55.0,
213, 35.0,
213, 35.0,
213, 10.0,
213, 35.0,
213, 50.0,
213, 55.0,
213,   70.0,
213,   65.0,
213, 25.0,
213, 25.0,
213, 55.0,
213, 40.0,
213, 40.0,
213,   95.0,
213, 40.0,
213, 15.0,
213, 15.0,
213, 50.0,
213, 50.0,
213, 35.0,
213, 50.0,
213, 45.0,
213,   70.0,
213,   70.0,
213, 45.0,
213, 40.0,
213, 45.0,
213, 25.0,
213, 50.0,
213, 55.0,
213, 15.0,
214, 45.0,
214, 55.0,
214, 35.0,
214, 15.0,
214,   65.0,
214, 45.0,
214, 55.0,
214, 40.0,
214, 50.0,
214, 40.0,
214, 25.0,
214, 30.0,
214,   60.0,
214, 35.0,
214, 55.0,
214,   80.0,
214, 50.0,
214, 45.0,
214,   75.0,
214,   60.0,
214,   60.0,
214,   75.0,
214,   60.0,
214, 45.0,
214, 25.0,
214, 40.0,
214, 45.0,
214, 25.0,
214,   60.0,
214, 15.0,
214, 45.0,
214, 35.0,
215,   65.0,
215,   85.0,
215,   60.0,
215, 30.0,
215, 55.0,
215,   70.0,
215, 40.0,
215,   90.0,
215, 30.0,
215,   65.0,
215, 50.0,
215,   65.0,
215, 40.0,
215,   95.0,
215, 25.0,
215,   70.0,
215, 10.0,
215, 40.0,
215, 30.0,
215, 10.0,
215,   70.0,
215,   75.0,
215, 25.0,
215, 50.0,
215,   65.0,
215,   85.0,
215,   70.0,
215, 30.0,
215, 55.0,
215, 45.0,
215, 55.0,
216, 15.0,
216, 45.0,
216, 50.0,
216, 45.0,
216, 50.0,
216, 45.0,
216, 45.0,
216, 25.0,
216, 45.0,
216, 55.0,
216, 40.0,
216, 35.0,
216, 40.0,
216,   70.0,
216,   70.0,
216,   75.0,
216, 25.0,
216, 40.0,
216,   60.0,
216, 25.0,
216, 40.0,
216, 40.0,
216, 35.0,
216, 15.0,
216, 45.0,
216,   60.0,
216, 25.0,
216,   85.0,
216, 30.0,
216, 25.0,
217, 35.0,
217, 35.0,
217,   65.0,
217, 45.0,
217, 25.0,
217,   90.0,
217, 55.0,
217, 45.0,
217, 50.0,
217, 25.0,
217, 20.0,
217, 40.0,
217, 35.0,
217, 15.0,
217, 45.0,
217,   65.0,
217, 55.0,
217, 50.0,
217, 45.0,
217,   70.0,
217, 30.0,
217, 25.0,
217, 35.0,
217, 55.0,
217, 35.0,
217, 45.0,
217, 10.0,
217, 30.0,
217, 55.0,
217,   65.0,
217, 45.0,
217, 45.0,
218, 25.0,
218, 35.0,
218, 25.0,
218,   65.0,
218, 50.0,
218, 55.0,
218,   60.0,
218, 40.0,
218, 30.0,
218, 50.0,
218, 15.0,
218, 40.0,
218, 55.0,
218,   70.0,
218, 50.0,
218, 50.0,
218, 50.0,
218, 30.0,
218, 50.0,
218, 35.0,
218, 50.0,
218, 45.0,
218, 20.0,
218,   75.0,
218, 30.0,
218, 20.0,
218, 45.0,
218, 40.0,
218, 30.0,
218, 30.0,
218,   65.0,
218, 30.0,
218, 35.0,
218, 20.0,
218, 55.0,
